"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"davelowen","23 August 2016","The best zombie film I have ever seen (outside of the comedy Shaun of the Dead). Such a great film. It starts exactly like a train ride gathering momentum and gaining speed. The only difference with this train ride is I didn't want it to stop. It has a brilliant script, fantastic effects plus a very good choice of cast and acting. It also has a 'credible' plot (as credible as you can get with the zombie genre). Many of the scenes will stay with me for a long time. I hear that Hollywood want to do a remake of it. It will be interesting if it will be done as well as this. I thoroughly recommend this very refreshing and fast paced film. Get a ticket and enjoy the ride!","
            10/10
            "
"falcondj","17 March 2020","This movie did what I have not seen many, if any, American or British-made zombie movies even try, and that's tell a believable, frightening, and tear-jerking story that will keep you interested all the way to the end. The only other zombie movie I enjoyed as much as this one is of a completely different genre, and that's Shaun of the Dead (a British comedy).This movie had characters you loved and hated. This movie had a situation that was believable under those circumstances. This movie had actually scary zombies and situations that did not rely on cheap jumpscares to frighten viewers. This movie also had emotion, enough to make a grown man need a box of tissues by the end, and no I'm not talking about for the hot cheerleader girl.Absolutely take a chance on this movie! The whole movie is Korean audio and English sub, which normally I don't enjoy, because I don't like to read my movies, but you will quickly forget you're reading subtitles after a short while because the story keeps you hooked.","
            10/10
            "
"tom_saint","22 August 2016","Hello,We can argue whether a zombies should be fast or not –In the movie, they are fast, deadly and merciless. It is more believable than those zombies can take over a city or a country within a day.The movie succeed where Fear The walking dead failed miserably, to explain how the pandemic starts and how it has been spread so fast.Most of the movie take place in a train, very claustrophobic place if you are chased by a herd of undead, but it worked for me, I felt the tension, the drama, the crazy survival instinct of ones and the resignation of the others.Walking dead made the zombie apocalypse almost cool, with guns and sex and love story, In train to busan nothing is cool, you do not have gun, your family and pretty much everyone you know are dead, there is no escape and nobody will come to save you ..I spent 2 marvelous hours watching a movie about zombies, I despite the fact I watched hundred movies about zombies, I have been surprised and scared.","
            10/10
            "
"ma-cortes","8 February 2019","Top-notch Zombie movie includes hectic action , thrills , chills , gutsy scenes and loads of gore , regarding several passengers attempting to survive on the train from Seoul to Busan . It is a harrowing zombie horror-thriller that follows a group of terrified passengers fighting their way through a countrywide viral outbreak while trapped on a suspicion-filled, blood-drenched bullet train ride to Busan, a southern resort city that has managed to hold off the zombie hordes... or so everyone hopes . This thrilling film results to one of the highest earning horror movies of the last years , full of eerie scenes with zombies and moving events . It tells the story of the happenings that follow after a zombie apocalypse . While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan . As a divorced father, Seok-woo , along with his daughter Su-an, heads for Busan to meet her mother , then he discovers that the world has been taken over by zombies. Shortly after , the father and other passengers struggle to fend off the zombie hordes . It follows a group of survivors on a train , who travel in search of a safe and secure home. The movie goes on to explore the challenges of the passengers on a train and in a station overrun by zombies who take a toll on the survivors, taking on the greatest dangers to their continuing survival when the zombies roam surround . As the characters are changed by the constant exposure to death and some grow willing to do anything to survive. Escape from the zombies! Get on board to stay alive! Life-or-death survival begins
This excellent picture packs noisy action , chills , violence , lots of blood and gore , dealing with life-or-death survival in train bound to Busan . It's a solid film , a terror story plenty of suspense , restless horror, and in cinematographic style . It deals with a merciless fight for survival in which some survivors struggle to fend off the zombie hordes ; as well as competing with other passangers who are prepared to do whatever it takes to survive . The main premise is the following : A divorced daddy spares time with his daughter , as he offers to take her on the train to see her mother in Busan , as the train departs, an abnormal virus spreads from a girl who is infected, and people start to transform to zombies. Will Seok-woo and Su-an make it out alive? .The flesh-eating zombies appearance deliver the goods plenty of screams, shocks and tension . The horror moments are compactly made and fast moving . This movie is the sequel of his animated film Seoul Station, and both releasing in 2016, the movie gained a lot of attention from South Korea, and internationally, because he choose the genre that not a lot of South Korean director choose which is the zombie flick. The movie was screened at the Midnight Screening at Cannes Festival, the movie was rumored to be remake with by the Hollywood production . Train to Busan is the first South Korean movie that gained 10 millions theatergoers in South Korea, and the number is still counting. It achieved a big success thanks to the interesting plot and the Zombies are vey well carried out , excellent make-up and acting , in fact actors who played zombies had to go through zombie school to learn how to walk and move like zombies .¨Train to Busan¨ has got several Awards and nominations such as : Nominated for a 2016 Blue Dragon Film Award in the Best New Director category , Won the Yu Hyun-mok Film Arts Award a the 2016 Buil Film Awards and Won the Best New Director Award at the 2017 Baeksang Arts Awards . The motion picture was magnificently made by director Yeon Sang-ho , being his debut feature . This filmmaker is very loved by Cannes thanks to his edgy animation. He is a good director, and a fine screen writer . At the beginning he made few short films , then set up his own production house Studio Dadashow in 2004. Yeon Sang Ho known for directing a animated film such as The King of Pigs, The Window, The Fake, and his latest animated film is in 2016 called Seoul Station. Yeon Sang-Ho sometimes created his movie based on his own personal life as well. For example the The King of Pigs, he said that he was inspired by his own life experience, and he cried during the writing time of the script, The Window is based on his life during his mandatory . Train to Busan rating : 8/10 . Above average movie . Well worth warching . The picture will appeal to Zombie-sub-genre fans .","
            8/10
            "
"Fella_shibby","17 September 2018","I am writing this review again.
I don't know how n y my earlier review of this film got deleted. I am a big fan of Korean thrillers n a bit bias but this film doesn't deserve anything below 9 from horror n thriller fans.I find movies set in a running train intriguing.
The aerial scenes were very well shot. The cinematography is spectacular n the editing crispy.
The film is loaded with tension n mayhem throughout.
The best character is the husband of the pregnant woman. One helluva selfless fella.Horror, especially zombie fans will not b disappointed.","
            10/10
            "
"perica-43151","26 August 2018","South Korean cinema is so good. This movie is part 28 days later, part Snowpiercer and another part is The Cassandra crossing. But it still manages to be very original. The morality tale is strong, and we see a transformation of corporate self centered father into a self sacrificing hero. The movie disproves his early maxim that everyone should look for themselves in no uncertain terms. The selfish coward corporate train manager and his refusal to help others is given its due. And in the end, humanity wins in the perfect if hopeful ending. Movie is fun, fresh and still manages to be a good zombie/outbreak movie showing end of the world of sorts, in a way much higher budget Hollywood crapies can only dream to achieve. Kudos, South Korea!","
            9/10
            "
"stmovies","3 September 2016","If I have not watched the trailer, I will give it a score of 10 for its entertainment value but having seen the trailer, a little is lost. I don't remember having watched any movie that is so damn engaging, so easy to follow, and so exciting right from the first few minutes all the way to the end. All the exciting moments end with a climax that's fit for a movie. The few minutes during each break for audience to catch their breath is not boring or wasted, perfectly used for characters development. I don't understand why someone commented the last 30 minutes is not as good. I find each climax better in the next. If they make a sequel to show some happenings elsewhere with the same plot and concept, I will still watch it.","
            9/10
            "
"akosijesu","2 September 2016","I'm not a big fan of South Korea movies or TV shows but I love zombie movies so I try this one and I didn't disappointed as a zombie movie fan!Train to Busan is such a great ride, Well Written, A lovely cinematography, wonderful performances with the main cast, and especially unbelievable performance with the zombie actors to this film!This is the film that you will never forget this year because its all in one movie, FUN RIDE, ACTION RIDE, SUSPENSE RIDE AND DRAMA RIDE! Hollywood zombies films I think you need to think twice now because South Korea zombies will eat you alive!4over5","
            9/10
            "
"Leofwine_draca","1 March 2017","South Korea has made plenty of horror films over the last couple of decades, but very few of them have been zombie films; the country typically favours ghost or psycho tales like WHISPERING CORRIDORS or I SAW THE DEVIL. That changes with TRAIN TO BUSAN, a Hollywood-feel film that owes more than a debt of inspiration to WORLD WAR Z in its depiction of fast, feral zombies that amass into a CGI-animated crowd on occasion.This film is straightforward enough, with a simple premise: zombies on a train. And yet it also happens to be thoroughly gripping, exciting, and indeed excellent, thanks to the skill of director Yeon Sang-ho who is known for his animated features like KING OF PIGS. The reason this film succeeds where others fail is down to the characterisation, which is superb for a straight horror tale. The characters are realistic, well-drawn, and appealing, and there's plenty of sentiment while at the same time the film narrowly avoids falling into melodrama.This is a visceral journey that has the viewer on the edge of his or her train seat for much of the running time. It starts off eerie and foreboding and then builds a momentum that never flags right up until the end. The CGI effects are pretty good although occasionally weak, but that doesn't matter a jot when everything else is so well portrayed. The actors impress as always in Korea, putting tons of energy and heart into their performances, and as an action-horror film this is difficult to surpass. I enjoyed every moment.","
            8/10
            "
"dar0417","11 August 2020","One of the best Zombie films since World War Z. This film is non-stop from the beginning to the end. Very intense and lots of blood. The acting and story telling is amazing. Worth the watch.","
            8/10
            "
"AndyVanScoyoc","3 February 2019","Never have I seen such an engaging zombie film.Anyone wanting to make a zombie film should watch this for reference, rather than following the tired and overdone ridiculousness of boobs, sex and stupid people acting stupid, making stupid decisions and deserving to die.A very realistic portrayal of human emotion, human actions and scary as any nightmare, this film blows modern day zombie attempts right out of the water.Raw, nerve wracking and even (if you're a softie like me...) tear jerking - the ending will stay with me for a while - this is one movie NOT to be missed if you're looking for a serious undead story that you'll never forget.","
            10/10
            "
"stimpy_tr","3 September 2021","Train to Busan is an interesting zombie movie from a Korean director with completely a different approach. Unlike ""the Dead"" series of George Romero or ""Return of the Living Dead"" series, which are the two major series in the genre, this one does not involve comedy and in addition, the suspense is maintained all the time without digressions. The story is as simple as it can be, that is, a zombie assault breaks out in Korea and spreads quickly to cities and to a train traveling from Seoul to Busan. It has some emotional content and also some twists through the ending. The movie also has a realistic sense as to how people can be cruel against each other under high oppression.","
            7/10
            "
"JohnDeSando","7 October 2016","""I'll take you to mom no matter what."" Seok Woo (Yoo Gong)This workaholic father, Seok Woo, doesn't realize the ramifications of ""no matter what."" South Korean zombie thriller and box-office phenomenon Train to Busan speeds him and daughter, Soo-an (Soo-an Kim), from Seoul like the titular conveyance through cars and society in a way reminiscent of Snowpiercer. The conceit works well because it can give ample thrills and jump scares while taking a figurative run through society from one car to another.Train to Busan is much more than the sum of the frenetic zombie hordes that terrorize the train in scarily multiplying numbers. It is also about the community joining forces to combat crime, workers facing down management, commoners disdaining government in general, and distracted parents. Director/writer Sang-ho Yeon navigates between the terror and the commentary with effective timing, never letting the flaming story erase the sociological implications, which sometimes are heavy handed.While cinematographer Lee Hyung-deok does first-rate work on the mise en scene (from macro shots of the train and stampeding zombies to action in narrow on-board bathrooms), and editor Yang Jin-mo keeps the story moving and understandable, Train is also about relationships. Although several of the good characters do not make it to the station, those who do are representative of the hope humanity must have in its darkest times. Along the way we do have to experience the silly, cartoonish characterization of the cowardly bus-company executive Yong-Suk (Kim Eui-sung). He could have been a zombie.I can't be sure how much of the South Korean audience embraced the implications of capitalism lying underneath the speeding-train motif. What I know is that for a critic who usually avoids zombie films unless they are humorous satires, I enjoyed Train to Busan as a multi-layered entertainment to appeal to just about anyone who likes to be thrilled by first-rate cinematography, a wild-ass story, and some heady thoughts along the way.","
            6/10
            "
"Rendanlovell","9 December 2016","Zombie movies aren't quite dead yet. Over the past several years zombies have snuck their way into pop culture, overtaking almost every form of entertainment and putting themselves in the for front as the most beloved ""monster"". There's zombie survival guides, magazines, TV shows, and, of course, movies. 'Train to Busan' is one of those movies. But, as of late, zombies are seeming to wane in popularity. It would seem that the zombie's novelty has started to wear down due to its incredible over-saturation. That being said, when they are done right they remain a rather fun gimmick. Unfortunately, this film is really nothing more than that.It's a fun gimmicky movie that doesn't do too much else. But while it lasts, it's a blast. The film almost immediately gets started showing the slow beginnings of the outbreak. A couple burning buildings, some emergency vehicles darting around, and the occasional convulsing person. This type of first act isn't new or different by any means but it's the fact that we get into the action within ten minutes that makes this movie instantly enjoyable.Despite the dumb family dynamic that the film introduces the opening forty-ish minutes is probably the most visceral action in a movie so far this year. This is largely thanks to the actual filmmaking. The camera-work is all extremely fluid and interesting. There is rarely a moment when I saw a shot and thought it looked bad. The director uses the camera to help build tension instead of just throwing in loud sounds and music.It also helps when the makeup effects and performances are as well done as they are. Obviously, there is a fair amount of blood in this here movie and it's used sparring enough to help heighten a scene, instead just being the scene. And the actors that get the nice close ups as the zombies all do a wonderful job selling it. There are multiple wonderful moments when the zombies fling themselves down thrashing wildly.The best moment is definitely when an army man throws himself off the train and breaks his arm. It just dangles behind his head as he gets up and takes off running. It's these wonderful little touches that make this film enjoyable over a 'World War Z' type of movie. But not everything works in this movie. The script is particularly messy. This feels far closer to a big budget Hollywood movie, except without the budget.The most noticeable bad aspect of the film is the visual effects. Even though the majority of the film takes place on the actual train, there are plenty of times when we move off of said train and the run down world comes into focus. What we get are mostly unconvincing effects that hinder more than help. Fortunately, they are used sparring enough to not be a huge issue.But, like I said earlier, this film's script is specifically poor. This mainly stems from the emotional manipulation that it has. It tries to offer characters that you like but it doesn't develop on them. They are people that have families and the film expects you to just like them for no reason. And since you are supposed to like them for no reason it tries hard to have tear jerking moments.Every time it does, they are horribly predictable and nothing more than manipulative. It pauses the film to have the sappy music and the zoom ins as the characters pretend have emotional moments. Every time this happened, and it does far to often, I just wanted to punch the movie in face and yell, ""GET ON WITH IT!"" If you want to have these moments in your movie, that's fine, but you need to have well- written characters. Or just go non-stop balls to the wall action.And that's where this movie fails. It tries desperately hard to be both action packed and emotional. When you try this hard to strike a balance, one aspect or another will suffer at any given time. Every time the film slows down to have characters talk, I just wanted to die. It affects the pacing in the worst way possible by making this a boring yet fun movie. It's definitely enjoyable to watch and it has a lot of great elements. If you like zombie movies or action oriented movies, you'll probably like this one, but for anyone else watch 'Dawn of the Dead' again.","
            7/10
            "
"kanyeezy-28832","23 July 2016","Making zombie blockbuster movies outside of Hollywood is not an easy task. Money is the biggest problem, of course. Since it takes a lot of money, success should be guaranteed before making a movie is decided. However, because there are no other precedents, you can't tell whether it's going to succeed or not. This bad cycle kept Korean directors from making zombie blockbusters. This tells how bold movement it was to make 'Train to Busan'. This movie was destined to be 'hit' or 'flop' and it turns out to be 'hit'. Then, this gives a food for thought. What made this Korean zombie blockbuster movie which is definitely unfamiliar to Korean people successful? Ironically, the secret lies in familiarity. Let's take a look at this movie. Yes, it has zombies, but is this movie all about them? No. Unlike 28 days later or resident evil, this movie actually doesn't care about zombies that much. Zombies are not explained much. Their origin, their ability, cure for zombiesThese are the things that are not being handled well in the movie. In this movie, zombies are just tools to represent 'threats'. The main theme of this movie is about how people react to threats. Selfishness, altruism, violence, love and much more are being depicted in this movie. And Korean people are quite accustomed to these elements. When directors mix these elements well, then the movie becomes a hit, just like this one. However, this movie still has some downsides too. Acting of Jin-hee is quite unbearably bad and the character Yong-suk (who keeps trying to sacrifice others to save himself) had gone way too far. Yes, I can get mad at bad guys but I don't want to get annoyed at them. Also, getting annoyed gets worse when it is not properly resolved as this movie does. Overall, this is a quite well-made movie, though it still has some bad moments. I believe this movie will be a new beginning for Korean blockbusters. And I recommend you to watch this movie to stay alert for rise of Korean movies.","
            8/10
            "
"SnoopyStyle","9 August 2017","It's the start of the zombie apocalypse. The population is caught unaware. An injured girl scrambles onto a train leaving Seoul for Busan. She had been bitten by an infected and soon becomes an infected herself. The infection spreads and the survivors find safety in a few cars. Among the survivors are a girl and her often-absent fund manager father, a strong man and his pregnant wife, two elderly sisters, a baseball team and one cheerleader, and a selfish businessman.This is solid zombie fare. The zombies are reminiscent of World War Z. In fact, it might as well be a small part of that franchise. The characters are well-drawn. They are memorable. There are about ten good characters. The action is thrilling and scary both small and large scale. There is good tension throughout. There is one climatic scene that is trying too hard emotionally but that's a small flaw in an otherwise flawless action film.","
            8/10
            "
"baunacholi-86159","16 June 2021","I never cared about Z related movies or hyped tv shows in this kind of genre. Nevertheless, train to Busan got me. Not cause of the Z topic itself but its ability to paint a gruesome and apocalyptical picture. Esp in our current global situation it raised interesting questions about human values and believes. The cluster of Z's trying - under all circumstances - to hijack the railway engine might stick w me for a while. Special shout out to Su-an Kim, the little girl who gave (in my opinion) the best performance by a child actor in a long time.","
            10/10
            "
