"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"TheLittleSongbird","4 January 2018","Love musicals, always have from a very young age seeing the likes of 'The Wizard of Oz', 'West Side Story', 'The Sound of Music', 'Calamity Jane', 'Singin in the Rain' and Disney musicals. So there is absolutely no bias against musicals, though there are bad ones out there and ones that are still enjoyable or mixed where stories, scripts or both are not strong suits. Went to see 'The Greatest Showman' yesterday with my sister, having been blown away by the trailer (one of the best of the year to me). Both of us found ourselves loving it, it actually is one of my favourites of the year and loved it just as much as 'La La Land'. Like was said with another 2017 favourite 'Paddington 2' it was a breath of fresh air after a variable year seeing my fair share of overblown big-budget blockbusters with little soul, films that waste great premises and films that attempted laugh-a-minute laughs and doing it in a way that came at the expense of heart as well of course some gems. Am not sure where the critic bashing (which has been blown out of proportion for some time now for a lot of films, acclaimed and panned, and is getting incredibly annoying and abused) is coming from. Despite the low Metacritic score and the average one for Rotten Tomatoes, actually personally have seen a lot of positive reviews and word of mouth even from people hard to please.Is 'The Greatest Showman' perfect? Not quite. Some secondary roles are sketchy at best and only serve as ones getting in the way of the troupe overcoming obstacles and adversity and providing conflict. A few of the dramatic parts, like the fire, veer on the slightly melodramatic. Those are my only real complaints.Anybody who has heard of Jenny Lind will need to suspend disbelief at how she would never have sung like she does here. No record survives of her singing (apart from a rumoured cylinder recording, recordings that often didn't do justice to singing voices, particularly in later life and when they were past prime, and nothing like how they are documented as), but from what has been read about her personally her vocal production and technique is too perfect for a voice that has been described as an acquired taste voice despite immense popularity and admiration. Can overlook that, because ""Never Enough"" was so brilliantly performed and it is hard to match what Jenny Lind sounded like when you don't have the audible evidence and only have documentation on critical reception to go by. 'The Greatest Showman' is also not that sort of film to do that.Honestly feel however that the historical inaccuracy, as a biographical drama 'The Greatest Showman' is heavily fictionalised, can, and should be, easily ignored. It is so easy to be captivated by the incredible dazzle and delights of the spectacle, and not many 2017 films left me feeling charmed, with my heart fully warmed, fully entertained, uplifted and with tears welling up in my eyes. 'The Greatest Showman' did all those things, from as early as ""A Million Dreams"" and never let go.'The Greatest Showman' looks amazing, one of the best-looking films of the year. It is one vibrant and classy shot and frame after another, the colours are eye-popping without ever being garish or exhausting and the period detail is as sumptuous as they come. The editing is dazzling and if this is a directorial feature film debut honestly can't wait to see where 'Michael Gracey's directing career takes him.Was wholly captivated by the song and dance numbers. To me the songs were truly infectious and catchy. ""A Million Dreams"", ""Never Enough"" and ""This is Me"" are the particularly memorable standouts. The choreography is a sheer delight in its energy, class and verve, ""This Is Me"", ""From Now On"" and ""Rewrite the Stars"" are just jaw-dropping. The cast do them justice. Vocally, Loren Alfred in ""Never Enough"" and Keala Settle in ""This Is Me"" are brilliant and the aforementioned songs for the choreography are especially well danced.Personally don't agree that 'The Greatest Showman' lacks substance or that the dramatic parts are empty. Sure the more dramatic sections are not as memorable, as well done or as entertaining as the song and dance numbers. Some of it is melodramatic. However the family scenes do have a lot of heart and charm, are sympathetically and touchingly played and the girls are adorable. The themes and values are not hammered home too much and are relevant and as relatable today as they were then. Couldn't have asked for better performances, especially the pitch-perfect one of Hugh Jackman, showing that he is fully at ease in musicals as he is as Wolverine. Despite loving him as Valjean in 'Les Miserables', the role of P. T. Barnum suits him much better particularly in the singing, he sounds incredible with a more even and attractive tone. He is as light-on-his-feet as the great dancers of the Golden Age classic musicals were (capturing the spirit of this era was another thing 'The Greatest Showman' excelled at) and he handles the dramatic/family moments with nuance. Zac Efron not only sounds wonderful and dances a dream (especially in ""Rewrite the Stars"") but shows that he can act, he has come on such a long way and this is the direction he should be taking. Michelle Williams is sympathetic and touching and Rebecca Ferguson is every inch the operatic diva. Keala Settle and Zendaya are especially good of the troupe and the singing voice of young Barnum is beautiful. Overall, really is a great show. 9/10 Bethany Cox","
            9/10
            "
"wise-40311","5 January 2018","I'm sorry folks but the critics are brain dead, The system is rigged by movie studios paying off these worthless critics to only favor certain movies, they should be ashamed of themselves, hope you can sleep at nights knowing users outnumber your worthless rigged pay off reviews. I'm not a musical type person at all but this movie touched me in every aspect of the movie, I had tingles running down my body and couldn't hold back my tears. If this movie doesn't touch you, then you don't have a heart, period and that's coming from a right wing conservative.This is by far the Greatest movie of 2017....plan on going to see it again. Also, bought the Soundtrack too. Two Thumbs Up.","
            10/10
            "
"zkonedog","21 September 2018","The success of ""La La Land"" opened Hollywood up to the musical again, and ""The Greatest Showman"" is able to take full advantage. While traditionally the story of P.T. Barnum would be told as a biopic, here it is given a flourish that perhaps the old ringmaster himself would appreciate.For a basic plot summary, ""Greatest Showman"" tells the story of how P.T. Barnum (Hugh Jackman) built his circus empire. This was largely accomplished by using ""freaks"" (bearded lady, dog-faced boy, etc.) to draw curiosity to his museum and later shows. Though initially deemed as catering to the ""lowest common denominator"", Barnum's shows eventually won over the hearts of people (especially children) around the world. Also focused on in this flick is Barnum's marriage to Charity (Michelle Williams) and partnership with Phillip Carlyle (Zac Efron).By positioning itself in the way that it does, ""Greatest Showman"" only deflects any criticism that can be thrown at it. Not entirely indicative of Barnum's life? The man himself would revel in the drama! Too over-the-top or schmaltzy? Have you ever been to the circus?! In this sense, the film is practically immune to harsh takes.In terms of execution, the music is wonderful and the visuals are stunning and always offering something new. The tone is a good mix between relentless energy, but also being able to slow down and appreciate the softer moments when needed. The ability to accomplish this makes for high emotion with every song.The cast is about as diverse as a circus show itself, what with the eclectic mix of Jackman, Williams Efron, Zendaya, & Rebecca Ferguson. They all perform very well and create a great chemistry on the screen.Personally, ""Greatest Showman"" will never be among my favorite films of all-time. I actually prefer a more straightforward, character-drama biopic approach. However, I can very easily see the appeal of the musical tact here, and enjoyed it enjoy to be thoroughly entertained. If you are more open to this crazier approach than I, the star ranking will likely tick even higher.","
            7/10
            "
"Hitchcoc","28 March 2018","When I saw the first trailer, I thought this would be fun. Then I started reading about it, especially local critics. I'm pretty picky and don't have much time for bad musicals. This pretty much floored me. The songs were pristine. The choreography was creative and fun. The casting worked wonderfully as did the special effects. I'm only taking a point away because it was so utterly contrived. But I thought Jackman and Ephron did yeoman duty as the leads. The circus bits were great. The ""freaks"" were engaging and fun. I wished it had a slightly sharper edge and a little more internal conflict, but the message put forth was just fine. Go see it because it is great fun.","
            9/10
            "
"mcsinteriors","12 November 2018","I'm so mad at myself for not watching this movie sooner!!! I could've been enjoying it for the past six months!!!We watched it as a family; two 40-somethings, a 4 year old, and a 3 year. We ALL loved it!!! The kids were singing along and dancing. My husband, who hates musicals, LOVED it! We watched it six times in three days!!!This is the epitome of a feel-good movie!!!Don't waste another day not having seen this gem!!!!","
            10/10
            "
"hertl","1 January 2018","I love the circus. I love quality cinema. Not since Billy Rose's Jumbo (1962) has a motion picture so successfully combined these two elements. I wouldn't be surprised if it won the same awards as Cecil B. DeMille's The Greatest Show on Earth (1952). Michael Gracey skillfully brought together the best music, choreography, cast, cinematography, visual effects, costumes, and set decoration I have seen in recent years, all fresh and original, and integrated them into nothing short of a masterpiece.","
            10/10
            "
"excalibur107","10 September 2018","Sunday was my niece's birthday. 16. I invited her and two of her friends to do whatever they wanted. They chose to stay home, eat cake and watch The Greatest Showman on HBO and I thought Oh no. But, I had cake with them and sat to watch this Michael Gracy, who? Michael Gracy to see the story of PT Barnum with Hugh Jackman. Sentimental and pretty, yes but also, engrossing, moving, beautiful and structured in such a way that doesn't fall into the usual biopic traps. It moves at a breathless pace with smart and unexpected transitions. Hugh Jackman is great and Michelle Williams truthful to a fault. She's never less than that. What a wonderful actress. Zac Effron gives, what it may very well be, his most convincing performance and the Swedish actress Rebecca Ferguson was a revelation to me. The script by Jenny Bicks and the remarkable Bill Condon tells a classic tale with contemporary rhythms and contemporary pace. Needless to say, I enjoyed it much more that I could possibly had imagine. So, thank you Lilli, happy 16!","
            7/10
            "
"andrewjoy-75878","7 March 2020","Take this as a film not as historic correctness. The guy in real life was not nice. I also thought the alpino girls were brilliant. Should of had a bigger part","
            10/10
            "
"danyell723","27 December 2017","It has been SO long since a movie/musical made me feel so...HAPPY!
This movie is absolutely FANTASTIC! Everything from the incredible, toe-tapping, music to the heartfelt, dream-filled, story-line! I was so immersed in the movie that at some point I totally forgot I was sitting in a packed theater on Christmas Night! I'll even admit that I broke the cardinal rule and actually turned on my cell phone to download the the ENTIRE soundtrack while still in the theater...and I was only two songs in!! I will also admit that I am a 42yr old who left that theater feeling like a little kid again, wishing that I can twirl my way to the car without being looked at as crazy! LOL!! I've already seen it twice in as many days, and I plan on seeing it TONS more until I can own it for myself! It is DEFINITELY a movie that you have to experience in a theater though, so PLEASE ignore the snub-nosed critics and go see this magical film! You won't regret it!","
            10/10
            "
"sherylchilders82","30 September 2020","If you're a fan of musicals, get out your tissues, because this movie will have you crying ugly tears of joy. The real genius of The Greatest Showman, however, is the very currently relevant themes of diversity and class.In P.T. Barnum's day, class was something one was born into, with no escape, though the idea of class mobility was on the rise, thanks to the scientific revolution and the Enlightenment. After the French and American revolutions, culture was on it's way to modern democracies. This movie is a nod to how entertainment began to reflect these changes. Today, classical entertainment like ballet and theater combines with the liberal and diverse entertainment of fringe ideas like the circus, to make what we consider modern entertainment, movies and television.We don't quite take for granted the diversity and acceptance we enjoy in our contemporary world (evident in ongoing racism and other discrimination like against LGBTQ people), but we are still a world away from the 19th century. But, Barnum was clearly ahead of his time, thanks to being an upwardly mobile individual himself (a rarity for the time), and having a bold and somewhat narcissistic personality.I think what is most striking about this story in this moment in history is that Barnum embraced and promoted an inevitable cultural phenomenon, even though he himself might not have been fully aware of its impact. His main motivation, after all, was to be a legitimate upper class person, not to unite the masses. He was simply a vessel through which that occurred. But, what happened with the circus in his time was really a precursor to what today is civil rights and modern democracy.","
            8/10
            "
"bkrauser-81-311064","24 December 2017","A musical movie about P.T. Barnum told with all great reverence to P.T. Barnum, featuring P.T. Barnum's Museum of Curiosities...so why not just make ""Barnum"" the stage musical? The answer to that question seems to be because then they couldn't get the guys from La La Land to do the music; fair enough. But if director Michael Gracey and screenwriter Jenny Bicks were set on custom making this celebration of glitz, chicanery and humbug they could have at least opted for a little more connective tissue.The Greatest Showman is a movie in moments, many of them great many more of them flaccid and empty. We're whisked through P.T.'s (Jackman) impoverished childhood in a single bound before settling on his happy marriage with wife Charity (Williams), and his two daughters (Johnson and Seely) who have grown to see their father as a hero. Tired of working to scrounge up a meager living, Barnum embarks on a risky entertainment venture and in due time, recruits his circus of curiosities and freaks.From that point on, the film's narrative relies heavily on its skin-deep celebration of acceptance and diversity. This is while it chugs along through Barnum's life from his start as a full-time huckster, to his falling out with Swedish opera singer Jenny Lind (Ferguson). And while it would have been nice to say that the movie does a good job of linking theme with plot, I'm sorry to say none of it becomes a cohesive whole.This is not entirely the fault of the filmmakers. I mean turning P.T. Barnum's life into a celebration of kindness and humanity is like using William 'Boss' Tweed as a symbol for New York pride. This film being a musical, I was not expecting something exacting, but I was expecting at the very least a keen acknowledgement that the legacy of P.T. Barnum isn't all razzle-dazzle. Yet this film makes him out to look like a saint; a man of untold potential who uses ""truthful hyperbole"" to provide for his loving family - A man of conviction, of love and of just wanting to put a smile on your face.Framed in virtually any other way, Barnum would be the villain - enticing his young protégé Phillip (Efron) to ""live a little,"" and abandon his family to come join the circus. Belittling a theater critic with insults masquerading as flaccid, fortune cookie, self-help wisdom and enticing circus ""freaks"" to stand out and express themselves while closing the door on them the moment he's among the rich and famous. The film's show-stopping tune ""This is Me"" takes place at this moment but because the film is too scared to make its hero anything more complicated than a fancily folded cocktail napkin, the moment feels like the side characters are just letting off steam.What ultimately saves this movie from being a complete waste of a Saturday night is the choreography. Every poppy show tune and love ballad brings with it entire body shots of twirling, leaping perfection, conjuring memories of the physical feats of the cast of West Side Story (1961). Not satisfied with the traditional, the film continues to build its momentum with incredibly fancy footwork and some truly death defying trapeze choreography on the part of Zendaya and Zac Efron.There's imagination in the frame and a lot of it, but largely due to the film's complete inability to marry subject with tone, The Greatest Showman is far from great. Rather than being a worthy successor to Moulin Rouge! (2001) this picture winds up feeling like Newsies (1992) without a Crutchy. And let's face it; the only thing we really remember about that movie was there was a character named Crutchy.","
            6/10
            "
"lilylou-85745","26 December 2017","I have never written a movie review but I couldn't let this jewel of a movie be slammed by the cynical critics without saying how much I loved it. This was the perfect movie for our family on Christmas Day. Don't pay attention to the ""professional"" reviews; judge by the moviegoers who are praising the movie. It was moving, upbeat, and romantic. Can't say enough good things about it. Hugh Jackman, Zac Efron, Michelle Williams, and Zendaya are all so talented. Go see it in the theater to really appreciate how magical this movie is.","
            10/10
            "
"laconsulting-88228","24 December 2017","As usual, the critics fail to grasp the obvious. Does the movie entertain? Yes, it does. Absolutely. Sure, it may not match the real story, and many things are not based in reality, but that's the point! It's a movie! It is a fun musical, very well done and enjoyable.If it was a made up story about John G. Pigglestack, then the critics would have nothing to complain about. I actually likes this much better than La La Land. Guess it's more upbeat. Musicals are a rare breed. Enjoy them while you can.","
            8/10
            "
"meydiana-65242","19 October 2020","Absolutely beautiful movie. Visually stunning, fantastic acting, songs you'll keep singing for months after. And the songs are catchy without being cheesy. Love the choreography as well. You can't sit still while watching this movie! The story is very interesting and moving, and the issues they face are still relevant today which makes it very relatable. I've watched it three times and it makes me well up every time, my husband as well. If you haven't seen it yet, go see it! Even if you're not normally into musicals, I'd still give it a chance :)","
            10/10
            "
"austin0731","20 December 2017","I truly feel that there was a missed opportunity here with the greatest showman, it had great talent, music, costume design and an overall aura that feels like an extravaganza yet somehow it still falls short.If you have seen the trailer you have likely already seen the film, there were brilliant songs and likeable characters for sure but at the end of the day the storytelling was horrendously lacking. Which is as I have said a terrible shame seeing as there was a brilliant story about acceptance and prejudice right there yet the film never seems to fully capitalize. Much like Barnum's circus was described by the characters in this film this film is definitely likeable but at the end of the day, a cheesy, popcorn shoving flick. This film can also be described as a series of single moments of brilliance, when the film really utilized the musical aspects it really presents these visually stunning scenes yet, outside of those moments this is a very spotty film with an incoherent narrative. Indeed, the film seems to jump from scene to scene, moment to moment without any worthwhile character development or motive and without establishing much story points. While the movie had characters that were physically fleshed out and unique they weren't given much time for characterization except for few individual characters, as a result many of the characters seem more like caricatures then characters with personality and heart, which is something that the film truly needs. It almost seems like because the characters were so individually stylized physically they didn't see a need to narratively build their characters.Then again, those moments and bursts of energy in the film were just so well done that makes the film something that cannot be simply dismissed, a true shame. The greatest showman thrives at depicting the human spirit and tenacity yet fails to deliver a story with a coherent story and focus. But in there somewhere is a great film that sadly was not what the end result was. If the greatest showman could better build to character revelations and the main romance story with meatier character motives that truly connects those individually great moments I believe we do have something great here.","
            5/10
            "
"ccamp89","26 February 2018","Quite a frustrating film. The musical numbers are far and away its strongest attribute, which is obviously what any good musical should strive for. Although they aren't all showstoppers, there are some genuinely excellent sequences with tight, kinetic editing, great rhythmic camera movements, and vibrant choreography. The first proper musical number that acts as a prologue to Barnum's life was quite impressive with its fluid execution and ability to convey a large amount of information in a short period of time (which ironically is a quality that ends up being to the film's detriment when viewed as a whole... more on that later). Jackman's and Efron's bar duet is another fun and energetic sequence with a lot of cool camerawork and infectious energy. Essentially all of the songs are pleasant, catchy, and memorable as well, if a bit vanilla.The strength of these musical sequences is enough to save the film from being bad, and is even almost enough to outweigh the many, many flaws... but not quite. Firstly, the film is attractive to look at to be sure, but it is at times so incredibly glossy that it feels like you're watching a shampoo or jewelry commercial. Sure, it's going for that fairy tale feel, but at times the sheen and shimmer is a little too blinding. And that high-gloss polish is a symptom of a much deeper problem: the incredibly superficial quality of the story and its characters. It's disappointing because this story is genuinely interesting and has the potential for a lot of moral exploration that is completely passed over. Again, I get that this is a musical and a family film, but that doesn't mean it has to be vapid and stupid (see: La La Land). I found it extremely troubling that the film completely ignored the moral quandary of whether Barnum was helping these ""unique"" people, or exploiting them for his own fame and fortune. These characters never even question his intent, viewing the situation as Barnum helping to ""put them out there"", gain them social acceptance, and create a ""family"", where in reality they're quite clearly being taken advantage of in a way that is arguably more reprehensible morally than the protesters who mock them. It's a truly glaring omission from the film that saps so much potential substance from the story.Contributing to the superficial feeling of the film is another all-to common problem that modern American family films suffer from: the pacing is way too fast. It's like the studios are afraid people will be bored by their films, and thus they design them to speed through plot points and character development in a way that ends up suffocating the life from it. Sure this approach makes the film feel lively and exciting, but it also robs it of actual, meaningful character interactions and development. The result is a film that feels like all dessert and no main course - a bowl of chocolate ice cream sure tastes great but it's no substitute for a satiating meal.Another nitpick that bothered me enough that I have to mention it: why is a renowned 19th Century opera singer belting out a Celine Dion-esque pop tune for an adoring ""high brow"" audience in a classic theater? That scene was almost laughable in its absurdity. And although it was by far the worst offender, I would say in general the music in the film, while catchy, did clash somewhat with the period.Honestly, I really should be giving this film a lower score. Somehow I enjoyed it quite a bit even in the face of the many fundamental issues, which is a testament to the strength of the best sequences. Still this is a deeply flawed film that, for all its visual splendor and admittedly intoxicating energy, amounts to little more than a sugar rush.Strong 2.5/5","
            5/10
            "
"classicsoncall","8 August 2019","There are a host of production numbers and scenes that are pure spectacle, and one can't say enough about the incredibly talented cast. Hugh Jackman shows a side I've never seen before in terms of athleticism and singing ability, and it's always a pleasant surprise to discover such talent in an actor who's not particularly known for it. The scene that really popped for me was when Phillip Carlyle (Zac Efron) and Anne Wheeler (Zendaya) performed their flying trapeze-like choreography during the 'Rewrite the Stars' sequence. It was way beyond magical and for me was the most entertaining segment in a picture filled with them. Though the depiction of Phineas T. Barnum (Jackman) here was almost entirely fictional, there's no question that the story, in the words of New York Herald writer W.D. Wheeler (Eric Anderson), was in the truest sense, a 'celebration of humanity'. I'm not big on movie musicals, and wasn't aware that this was one when I picked it up, but it left me spirited and enthusiastic with it's vibrant energy. It was as much fun as a three ring circus.","
            10/10
            "
"bkoganbing","13 May 2018","It's ironic that this musical celebration of the life of Phineas Taylor Barnum comes
out just when the last tangible legacy of his life comes to an end. The plot of
The Greatest Showman ends just when Barnum gets the idea that he just needs
a large tent to house his attractions. We never see Barnum&Bailey's circus come
to fruition, we never even meet James P. Bailey in this film.. Their circus merged
with that of the Ringling family and it was Ringling Brothers&Barnum&Bailey
circus that traveled the world for over a century. Last year the troupe finally
broke up as the circus became an institution confined to history. Still Phineas
Taylor Barnum is still a name that set a standard for promotion.The Greatest Showman looks a whole lot like in style and substance with the
Cole Porter tribute film It's DeLovely. But that film had a library of a song catalog to score that film from its subject. Benj Pasek and Justin Paul wrote the songs for The Greatest Showman and This Is Me gained an Oscar nomination for Best Song, one of the very few now written for that rarest of
film lately, the original screen musical.A lot of people have brought P.T. Barnum to the screen and Hugh Jackman in 
his performance joins such folks as Wallace Beery, Burt Lancaster, and Michael
Crawford among others. Jackman doesn't take a back seat to any of these.
Two refugees from the Disney Studio, Zac Efron and Zendaya have great parts
to exhibit their musical talents. Rebecca Ferguson plays The Swedish Nightingale Jenny Lind who represented Barnum's successful bid for respectability. She has a nice song to sing dubbed by Loren Allred in Never 
Enough. But it might have been wiser and more accurate to have gotten some
soprano to sing a familiar public domain aria instead. What you see here is
most definitely not an authentic Jenny Lind.There's no more Scudder's Museum where Barnum exhibited his sideshow acts.
Jenny Lind arrived too soon for her voice to be captured on Mr. Edison's new
phonograph, and now the circus is of the past. But The Greatest Showman is
still quite a tribute to the one who really invented the concept of show business, P.T. Barnum.","
            8/10
            "
"claudio_carvalho","26 March 2018","""The Greatest Showman"" is a highly entertaining musical based on highlights of the life of the American entertainer P.T. Barnum, but never in his biography. The dramatization, art direction, cast and the choreography are excellent and the result may be not what the ""professional critics"" expect to see (like the snobbish character in the film), but certainly will be very pleasant for the audiences where I include myself. My vote is eight.Title (Brazil): ""O Rei do Show"" (""The King of the Show"")","
            8/10
            "
"autumnbeam-26651","25 December 2017","Ok, so I'm not a movie critic, and I'm sure they look at things differently than I do. I almost hesitated to see this movie because of the critic reviews, but I'm glad I went anyway. This movie is insanely good. The acting, original music, singing, and imagination is fantastic. Bravo to the cast, crew and Michael Gracey for putting together a phenomenally entertaining and captivating film. Don't listen to the critics, see this movie. This soundtrack will be on repeat in my car for MONTHS.","
            10/10
            "
"wyvije","5 February 2022","This movie does not present itself as a factual biography of PT Barnum, instead it is an overly idealized accounting of the life of a deeply flawed man.In the movie PT Barnum seeks fame and fortune while overlooking that what he really wants/needs in life has been his for decades.If the movie presents a celebration of anything it is the:diversity of the human condition (in the form of the Oddities)acceptance (in the forms of a then scandalous interracial romance)self-acceptance & perseverance (in the form of the Oddities celebrating their uniqueness in the face of bigotry)rejection of institutional privilege (in the form of Phillip Carlisle)the redemptive power of love (in the form of Charity's forgiveness)With musical numbers that are rich and vibrant that highlight the impressive skills of stars Hugh Jackman, Zac Effron, and Keala Settle, it is definitely a feel good musical.Are there parts that require a degree of willing suspension of reality/belief? Yes, but no more so of a long-lived man with the ability to heal wounds, has bones overlaid with metal, and sharp claws that extrude from his knuckles who lives with other people possessing unusual gifts including a man who can read/influence/control minds.","
            10/10
            "
"mariamakter2002","6 June 2019","This is a very sunny and joyous musical film which heavily relies on Hugh Jackman's natural charisma and his personality. Some of it's musical performances certainly overshadows a story of love,hate & understanding, which is largely incoherent. All in all, this is a movie where you should just enjoy it while letting off the flaws.8/10","
            8/10
            "
"harrisonlundy","25 December 2017","I think critics are missing the whole premise of the film. I never really saw this as a biography to begin with, but a fun, upbeat historical fiction musical. Each musical number had a fitting mood for the scene, especially the opening number where it was especially satisfying to see the visual aspects of the film. I saw this film as a mixture of the pop-style mood of Hamilton, mixed with the visual joyride that was Pippin. It works for me perfectly. I never really felt the runtime at all because the musical parts of the show were enough to keep me satisfied. Zac Efron and Hugh Jackman definitely brought my favorite performances, with Waitress actress Keala Settle delivering some satisfying vocal delivery. You can definitely feel the La La Land levels of genius lyrics here. As for story, I found myself telling the characters ""NO DON'T DO THAT"" or ""YESSS"" very softly in the theater. There were even a few moments where I smiled and laughed out loud.
In the words of Rachel Bloom, ""the modern musical is an American invention, and it is still alive and well."" It's rare that we get to see wonderfully crafted theatrical musicals such as this and La La Land. This is also something I think many critics fail to see. This is definitely one of my favorite films of all time.","
            10/10
            "
